#start	end	length	mean	median	max
275194	275249	56	359.62	438	827
275970	275981	12	115.00	126	128
278330	278392	63	328.08	62.5	740
278633	278644	12	155.92	171	174
279956	280162	207	100.67	102	161
282684	282702	19	173.74	142	276
283099	283137	39	468.46	499	588
284973	285031	59	425.51	121.5	875
285284	285295	12	95.67	106	113
288750	288851	102	68.26	74	86
289965	290017	53	483.08	477	717
291458	291464	7	131.71	151	160
296948	296952	5	77.20	97.5	98
297469	297483	15	38.13	40	45
297955	298023	69	234.55	65	651
306703	306752	50	306.18	496	514
307968	307974	7	24.86	29	29
308263	308277	15	32.13	35.5	37
309148	309150	3	30.67	46	46
310828	311022	195	1823.06	67	8010
312040	312144	105	58.25	35	288
314629	314872	244	289.37	71	1415
315185	315201	17	450.00	478.5	492
315466	315584	119	662.72	287	1630
317232	317244	13	55.54	62	65
318247	318248	2	36.50	73	73
319104	319117	14	58.07	63	64
320782	320803	22	54.73	57	60
321884	321927	44	279.00	343	900
322915	323160	246	1571.36	483	4778
323713	323724	12	473.25	524	534
325284	325301	18	177.56	189	196
325704	325789	86	114.84	111	159
326666	326680	15	180.40	192	197
327560	327607	48	130.06	135	140
327974	327975	2	146.00	292	292
328939	328946	8	83.62	98	101
330090	330452	363	113.83	34	759
330570	330587	18	107.44	112	125
331243	331853	611	67.30	23	286
334089	334387	299	676.91	541.5	1637
335141	335203	63	1335.59	555	2387
336827	336831	5	141.60	178	181
337069	337142	74	319.88	286	611
