RUF_ID	RNAcode_score
CP001504_933226_933432	0.574
CP001504_996580_996630	NA
CP001504_998080_998152	NA
CP002382_1149800_1150136	NA
CP002382_1154606_1154965	0.975
CP002382_1172788_1172842	NA
CP002382_1173065_1173139	NA
CP002382_1378094_1378280	NA
CP002382_1414391_1414688	NA
CP002382_1414893_1415056	NA
CP002382_1461014_1461125	NA
CP002382_1486797_1486983	NA
CP002382_1487869_1487929	NA
CP002382_1503796_1503882	NA
CP002382_151110_151206	NA
CP002382_1511898_1511981	NA
CP002382_1651247_1651358	NA
CP002382_1786503_1786748	NA
CP002382_1878245_1878301	NA
CP002382_1945274_1945489	NA
CP002382_1969689_1969765	NA
CP002382_2126072_2126267	NA
CP002382_2134116_2134190	NA
CP002382_2134476_2134526	NA
CP002382_2135786_2135841	NA
CP002382_2137665_2137716	NA
CP002382_2142581_2142647	NA
CP002382_2313659_2313814	NA
CP002382_2344084_2344150	NA
CP002382_2461174_2461249	NA
CP002382_34832_34998	NA
CP002382_394132_394197	NA
CP002382_475560_475717	NA
CP002382_475881_476062	NA
CP002382_478801_478936	NA
CP002382_761631_761906	NA
CP002382_765782_765936	NA
CP002382_889809_890005	0.146
CP002382_912145_912211	NA
CP002382_999794_999851	NA
CP003200_1196490_1196707	0.006
CP003200_129236_129417	0.010
CP003200_1648795_1648914	0.125
CP003200_1732443_1732603	0.613
CP003200_1846320_1846617	0.298
CP003200_1932897_1933186	0.000e+00
CP003200_3160660_3160856	0.000e+00
CP003200_3344025_3344096	0.989
CP003200_3838233_3838497	1.421e-07
CP003200_3908460_3908780	0.001
CP003200_394729_394802	0.444
CP003200_4037337_4037557	0.000e+00
CP003200_4086863_4086970	5.394e-10
CP003200_4636995_4637084	NA
CP003200_4650873_4650987	0.201
CP003200_4726877_4727051	0.859
CP003200_4746051_4746145	0.439
CP003200_4859473_4859732	0.000e+00
CP003200_4860168_4860387	2.346e-11
CP003200_4873856_4873924	0.910
CP003200_4881054_4881128	0.405
CP003200_5266449_5266648	0.002
CP003200_867205_867382	3.075e-14
FN543502_1131389_1131521	0.521
FN543502_1243354_1243427	0.253
FN543502_1247226_1247510	NA
FN543502_1434701_1434823	NA
FN543502_1920141_1920401	0.830
FN543502_27006_27106	0.663
FN543502_3885865_3885968	0.657
FN543502_3963051_3963133	0.306
FN543502_3967233_3967350	0.985
FN543502_3967506_3967621	0.012
FN543502_4016773_4016890	0.394
FN543502_4407566_4407728	0.849
FN543502_4757060_4757183	0.226
U00089_119827_120056	NA
U00089_141246_141381	0.255
U00089_207421_207703	NA
U00089_217534_217629	NA
U00089_250272_250325	NA
U00089_262022_262128	NA
U00089_271991_272048	NA
U00089_351015_351065	NA
U00089_385688_385836	NA
U00089_392713_392909	NA
U00089_413299_413430	NA
U00089_420238_420292	NA
U00089_453334_453421	NA
U00089_469310_469373	NA
U00089_481995_482284	NA
U00089_483245_483528	3.173e-06
U00089_592218_592397	NA
U00089_597824_597899	NA
U00089_604584_604896	0.000e+00
U00089_651244_651394	NA
U00089_661124_661186	NA
U00089_703619_703796	NA
U00089_757781_757869	NA
U00089_784073_784140	NA
U00089_784405_784488	NA
U00089_787980_788140	2.142e-08
U00089_789323_789409	NA
U00089_813398_813467	NA
U00096_1019269_1019476	0.741
U00096_1112735_1112801	0.059
U00096_1146761_1146843	0.523
U00096_1150625_1150837	0.473
U00096_1797771_1797825	0.180
U00096_1798021_1798119	0.408
U00096_2175224_2175429	0.238
U00096_223406_223770	0.640
U00096_2414911_2415102	0.484
U00096_2588728_2588828	0.089
U00096_2748080_2748136	0.217
U00096_3039090_3039334	0.593
U00096_3069264_3069480	0.294
U00096_3264048_3264148	0.367
U00096_3376671_3376891	0.794
U00096_3440570_3440639	0.560
U00096_3446169_3446335	0.586
U00096_3451290_3451529	0.032
U00096_3469349_3469421	0.998
U00096_3472101_3472199	0.589
U00096_3472572_3472699	0.297
U00096_3886530_3886752	0.786
U00096_3931237_3931381	0.025
U00096_3935189_3935316	0.246
U00096_4033174_4033553	0.985
U00096_4126416_4126694	0.584
U00096_4164306_4164681	0.819
U00096_4178514_4178582	0.554
U00096_4198115_4198303	0.555
U00096_4245920_4245993	0.171
U00096_4261103_4261270	0.705
U00096_460464_460674	0.288
U00096_4623884_4623934	0.949
U00096_596194_596353	0.344
U00096_738074_738223	1.000
U00096_802541_802725	0.774
U00096_952775_952831	0.989
U00096_961105_961217	0.238
U00096_962898_963062	0.976
AE006641_105154_105249	0.050
AE006641_1184670_1184784	NA
AE006641_2033485_2033587	NA
AE006641_2137185_2137263	0.049
AE006641_2191896_2192032	NA
AE006641_2411637_2411800	0.000e+00
AE006641_2952841_2953031	0.000e+00
AE006641_509340_509467	NA
AE006641_595498_595590	0.115
AE006641_597695_597863	0.000e+00
AE006641_749342_749417	0.913
AE006641_789531_789657	2.442e-15
AE006641_807535_807619	NA
AE009950_1226087_1226249	NA
AE009950_1285094_1285168	NA
AE009950_136703_136901	NA
AE009950_1793377_1793476	NA
AE009950_234518_234644	NA
AE009950_258918_259053	NA
AE009950_505155_505346	NA
AE009950_505722_505820	NA
AE017199_113561_113655	NA
AE017199_145930_146042	NA
AE017199_164078_164168	NA
AE017199_328870_328986	NA
AE017199_334558_334634	NA
AE017199_339351_339700	NA
AE017199_375319_375397	NA
AE017199_382303_382481	NA
