#start	end	length	mean	median	max
2052788	2052958	171	8.37	3.5	23
2053373	2053751	379	21.09	1	208
2055475	2055477	3	6.67	10	10
2056267	2056348	82	2.66	2	6
2057765	2058255	491	39.21	28	186
2058985	2058989	5	4.00	5	5
2059518	2059525	8	34.38	39	52
2062503	2062721	219	27.24	20	80
2063505	2063714	210	19.94	10	101
2065905	2066100	196	0.72	1	2
2067489	2067707	219	3.59	2	10
2068488	2068598	111	24.29	16	59
2070851	2071230	380	0.34	0	1
2072125	2072130	6	3.33	4	4
2072747	2072772	26	27.08	26	47
2073433	2073780	348	0.59	0	4
2076131	2076228	98	23.26	23	43
2077033	2077572	540	10.61	8	29
2079445	2079538	94	139.47	48	1071
2079613	2079621	9	2567.44	3103	3126
2079695	2079704	10	1434.90	1632	1684
2080005	2080111	107	576.98	189	2993
2082560	2082799	240	11.39	8	44
2084078	2084214	137	33.17	32	59
2084857	2084861	5	46.00	57.5	58
2086191	2086222	32	158.84	195	205
2086305	2086397	93	74.49	81.5	131
2086471	2086634	164	107.65	2	516
2086709	2086716	8	340.88	400	411
2086791	2087054	264	1.44	1	5
2088279	2088376	98	2.63	2	5
2090252	2090281	30	28.57	28	39
2091336	2091349	14	46.36	52	54
2092130	2092212	83	21.87	19	59
2094043	2094212	170	4.46	4	15
2095254	2095330	77	26.23	31	51
2096935	2097041	107	7.84	6	22
2097573	2097821	249	1.21	1	6
2099172	2099214	43	6.42	6	9
2099288	2099346	59	125.15	135	166
2099420	2099460	41	112.39	111	161
2099534	2099863	330	0.50	0	5
2100956	2101019	64	27.41	32	53
2101458	2101694	237	0.40	0	2
2102220	2102458	239	3.55	1	20
2103674	2103995	322	2.21	1	8
2104308	2104446	139	4.86	3	11
2104720	2104878	159	0.99	1	3
2105230	2105413	184	17.72	14	42
2106743	2106973	231	2.70	1	12
2107937	2108002	66	16.91	16	51
2109722	2109799	78	0.40	0	1
2110100	2110191	92	25.64	28	50
2110573	2110584	12	7.50	9	11
2111863	2112308	446	4.50	1	15
2113620	2113707	88	1.26	1	2
2114230	2114493	264	1.27	1	5
2114971	2114992	22	16.82	18	19
2116796	2116839	44	2.32	3	4
2117752	2117777	26	0.62	0	2
2118699	2118700	2	0.50	1	1
2120687	2120770	84	0.38	0	1
2121956	2122065	110	0.37	0	1
2122390	2122838	449	5.38	2	24
2123739	2123770	32	2.97	3	6
2124671	2124888	218	0.83	1	3
2126068	2126074	7	8.57	10	10
2126606	2126618	13	11.31	12	13
2128422	2128740	319	11.57	5	48
2129350	2129541	192	2.18	2	4
2130544	2130577	34	3.68	4	5
2131838	2132086	249	14.85	13	36
2133569	2133597	29	1.48	1	5
2136328	2136426	99	3.56	4	6
2138094	2138277	184	13.25	2	160
2138698	2138990	293	0.45	0	2
2139306	2139382	77	1.57	2	2
2140802	2140934	133	7.54	8	13
2142363	2142610	248	2.31	3	6
2146460	2146744	285	4.14	4	7
2149535	2149853	319	3.43	2	26
2152497	2152568	72	4.64	5	9
2153130	2153207	78	10.17	9	19
2153475	2153488	14	1.64	2	2
2154413	2154465	53	4.30	4	5
2154539	2154719	181	1.83	1	5
2155869	2156662	794	1.88	1	27
2157404	2157781	378	0.71	1	3
2158094	2158157	64	1.39	1	3
2158770	2158921	152	0.75	0	6
2160483	2160725	243	2.23	1	12
2162616	2162632	17	6.00	6	8
2163692	2164321	630	4.29	2	31
2165801	2166114	314	3.04	2	7
2167429	2167601	173	18.13	17	33
2169120	2169138	19	9.16	9	12
2170264	2170296	33	12.39	14.5	17
2171149	2171261	113	28.82	34	47
2171517	2171658	142	0.37	0	2
2172703	2172885	183	6.80	6	16
2173867	2173973	107	9.09	9	17
2174643	2174908	266	0.64	0	3
2175656	2175669	14	3.07	4	4
2176675	2176985	311	2.03	2	5
2178324	2178618	295	0.56	1	1
2179741	2180074	334	4.58	1	18
2181754	2181809	56	6.09	6	8
2184090	2184482	393	2.15	1	10
2185056	2185358	303	1.36	1	6
2186646	2186647	2	5.00	10	10
2187749	2187981	233	0.33	0	1
2189371	2189636	266	1.21	1	4
2191263	2191517	255	0.63	1	3
2193510	2193696	187	0.86	1	4
2194468	2194506	39	7.92	7	12
2196037	2196166	130	0.44	0	2
2196731	2196798	68	5.94	6	8
2198896	2199219	324	0.11	0	1
2200528	2200793	266	10.57	8	24
2203758	2204164	407	3.67	2	18
2205728	2206538	811	22.75	3	109
2207103	2207147	45	1.04	1	2
2207910	2208463	554	3.73	3	10
2210369	2210714	346	2.71	1	9
2211336	2211371	36	10.03	11	13
2211789	2212014	226	1.21	1	2
2212390	2212855	466	2.55	2	9
2213096	2213602	507	4.51	1	38
2214494	2214816	323	33.05	3	288
2216301	2216480	180	1.32	1	3
2217075	2217147	73	3.90	4	8
2219080	2219317	238	1.16	1	2
2220982	2221157	176	0.37	0	2
2221452	2221476	25	0.16	0	2
2222518	2222679	162	0.51	1	1
2223883	2223904	22	3.50	3	5
2224640	2224681	42	1.95	2	2
2225993	2226163	171	2.54	1	10
2229014	2229192	179	0.74	0	2
2229658	2229734	77	0.09	0	1
2230278	2230378	101	4.67	5	9
2230793	2230972	180	9.36	3	46
2231705	2231814	110	1.56	1	6
2232463	2232544	82	10.66	9	20
2233091	2233518	428	22.08	11	148
2234395	2234513	119	10.01	10	29
2235705	2235816	112	1.94	1	4
2237428	2237571	144	0.10	0	1
2238697	2238735	39	2.95	3	4
2239075	2239249	175	32.06	28	70
2240165	2240179	15	4.27	4	7
2242034	2242057	24	25.42	30	36
2242391	2242538	148	6.28	5	15
2243370	2243418	49	16.59	17	22
2244466	2244548	83	0.16	0	3
2244960	2245043	84	10.61	3	28
2246898	2246957	60	6.25	5	13
2247447	2247451	5	16.00	20	20
2247836	2247837	2	9.50	19	19
2249983	2250382	400	62.81	60	175
2251010	2251017	8	4.88	5	8
2251882	2252184	303	1.04	1	4
2252890	2253221	332	13.73	10	47
2254254	2254419	166	0.57	0	2
2255898	2256244	347	4.63	3	17
2256818	2256867	50	3.26	3	5
2257480	2257495	16	14.31	15	17
2257775	2257929	155	9.37	6	25
2259616	2259749	134	6.57	7	11
2260761	2260880	120	1.67	2	4
2262204	2262224	21	38.62	41	49
2263371	2263581	211	16.96	15	32
2264704	2264789	86	15.65	16	22
2265927	2266118	192	34.02	22	112
2268066	2268197	132	22.90	20	50
2268798	2269076	279	4.07	1	18
2270412	2270562	151	12.98	7	39
2271622	2271860	239	5.98	2	21
2272197	2272238	42	11.12	11	20
2274701	2274806	106	7.24	8	11
2275941	2276011	71	3.20	3	5
2278082	2278576	495	4.12	4	30
2279738	2279855	118	5.54	4	9
2281207	2281240	34	3.00	2	6
2282507	2282733	227	2.08	2	9
2283001	2283015	15	16.13	16	22
2286992	2287091	100	12.88	11	43
2287692	2287697	6	7.83	9	11
2288619	2288650	32	21.94	24	28
2289386	2289388	3	13.33	20	20
2290511	2290606	96	0.51	0	2
2291456	2291584	129	1.23	1	2
2291882	2292021	140	1.84	1	4
2293078	2293247	170	1.02	1	2
2296438	2296526	89	1.64	1	4
2296600	2296657	58	32.29	34	54
2296731	2296795	65	32.20	23	60
2296870	2296936	67	18.31	14	36
